"","year","life_expectancy","healthcare_expenditure","population_density","bmi","gdp"
"1",1975,72.62536621,"1299.7468",1.80499994754791,23.9,20993
"2",1976,73.01463318,"1337.0718",1.82500004768372,24,21613
"3",1977,73.34439087,"1403.1552",1.84500002861023,24.1,21592
"4",1978,73.67414856,"1410.1761",1.86600005626678,24.1,21948
"5",1979,74.00390625,"1410.7119",1.88800001144409,24.2,22826
"6",1980,74.33365631,"1440.4453",1.91199994087219,24.3,22972
"7",1981,74.663414,"1467.8877",1.94099998474121,24.4,23368
"8",1982,74.90487671,"1475.0446",1.97200000286102,24.4,22972
"9",1983,75.14633942,"1508.2358",2,24.5,22697
"10",1984,75.38780212,"1561.121",2.02500009536743,24.6,24009
"11",1985,75.62926483,"1617.1644",2.05200004577637,24.7,24927
"12",1986,75.87073517,"1688.0412",2.08200001716614,24.8,25116
"13",1987,76.15171051,"1712.2838",2.11400008201599,24.9,25971
"14",1988,76.43268585,"1736.7152",2.14800000190735,25,26702
"15",1989,76.71366119,"1783.3481",2.18400001525879,25.1,27407
"16",1990,76.99463654,"1853.1596",2.21600008010864,25.2,27373
"17",1991,77.27561188,"1920.2033",2.24499988555908,25.3,26861.27539
"18",1992,77.37805176,"1994.4415",2.26999998092651,25.4,27560.17773
"19",1993,77.87805176,"2060.3732",2.29200005531311,25.5,28622.47656
"20",1994,77.87805176,"2129.3472",2.31500005722046,25.6,29844.17188
"21",1995,77.82926941,"2202.176",2.33999991416931,25.7,30690.0625
"22",1996,78.07804871,"2307.517",2.36800003051758,25.8,31740.46875
"23",1997,78.48048401,"2392.0429",2.39299988746643,25.9,32857.99219
"24",1998,78.63170624,"2543.6197",2.41799998283386,25.6,34337.14063
"25",1999,78.93170929,"2646.7086",2.44400000572205,25.7,35551.01953
"26",2000,79.23414612,"2767.6725",2.47199988365173,25.8,36603.04688
"27",2001,79.63414764,"2872.3738",2.50200009346008,25.9,37275.99219
"28",2002,79.93658447,"2999.5093",2.53200006484985,26,38567.06641
"29",2003,80.2390213,"3090.6573",2.56100010871887,26.1,39523.65625
"30",2004,80.490242,"3240.3186",2.58999991416931,26.2,40887.72656
"31",2005,80.84146118,"3242.9106",2.62199997901917,26.3,41904.44531
"32",2006,81.04146576,"3323.2565",2.66100001335144,26.4,42650.98438
"33",2007,81.29268646,"3415.193",2.70799994468689,26.5,44033.58203
"34",2008,81.39511871,"3494.4375",2.76200008392334,26.6,44421.64063
"35",2009,81.54389954,"3629.7041",2.81599998474121,26.7,44686.54297
"36",2010,81.69512177,"3607.3407",2.86299991607666,26.7,45400.22266
"37",2011,81.89511871,"3738.1767",2.90700006484985,26.8,46132
"38",2012,82.04634094,"3831.3635",2.95499992370605,26.8,46999
"39",2013,82.14878082,"3901.7343",3.00500011444092,26.9,47250
"40",2014,82.30000305,"4009.8881",3.05100011825562,26.9,47867
"41",2015,82.40000153,"4164.2213",3.09699988365173,27,48357
"42",2016,82.44878387,"4632.316406",3.14599990844727,27,48845
"43",2017,82.5,"4715.827148",3.19700002670288,27,49265.61328
"44",2018,82.7487793,"4876.28125",3.24699997901917,27.1,49830.80078
"45",2019,82.90000153,"5294.462891",3.29699993133545,27.1,50451.98828
